k,mean_absolute_error,mean_squared_error,root_mean_squared_error
0,7.1040254,67.29314,8.203239
1,6.992146,65.936584,8.120134
2,6.3869147,59.127228,7.689423
3,3.3916686,22.323854,4.7248125
4,3.36633,21.713743,4.659801
5,3.660878,28.70447,5.357655
6,3.8545272,29.546879,5.435704
7,2.616323,15.395009,3.9236474
8,5.632282,59.307297,7.701123
9,3.0553513,11.882401,3.4470859
10,3.652534,17.04,4.1279535
11,1.939642,3.771588,1.9420577
12,1.710226,2.924873,1.710226
15,4.104835,31.151314,5.157143
